name	players	best_players	artists	mechanism	premium
スルー・ジ・エイジズ	2~4人	3人	Vlaada Chvatil Richard Cortes, Paul Niemeyer	アクションポイント制 カードドラフト ハンドマネジメント 競り	0
スルー・ジ・エイジズ - 新たなる文明の物語	3人	2～4人	Vlaada Chvatil Richard Cortes & Paul Niemeyer	アクションポイント制 カードドラフト ハンドマネジメント 競り	0
セイントポーカー	2~5人	3人	RicardoRix RicardoRix	カードゲーム ハンドマネジメント	0
世界の七不思議	3~7人	4人	Antoine Bauza Miguel Coimbra	カードドラフト ハンドマネジメント セットコレクション アクション同時解決 ヴァリアブルプレイヤーパワー	1
セネト	2人専用	2人	未詳	ダイスロール すごろく	0
セベク	2~4人	3人	Bruno Cathala Mathieu Beaulieu	カードドラフト ハンドマネジメント セットコレクション	0
ゼリーモンスター研究所	2~5人	3人	Adela Torre Adela Torre	ハンドマネジメント セットコレクション メモリー	0
セレスティア	2~6人	4~6人	Aaron Weissblum Gaetan Noir	ダイスロール プレス・ユア・ラック ベッティング	0
ソロ	2~10人	4~6人	Thomas Pauli	カードゲーム パーティゲーム	0
ダーク・エージェント	1~6人	5人	Rudolf Feller Delphine Delmas, Rudolf Feller	エリアコントロール 投票	0
ダイス・サマナーズ	2人専用	2人	Eoin Costelloe, Ciara Costelloe, Brian O Moore Kate O Moore, Brendan Purchase	カードドラフト デッキ構築 ダイスロール	0
ダイスフォージ	2~4人	4人	Regis Bonnessee Biboun	ダイス構築 ダイスロール ドラフト	0
大噴火	2~6人	3,4人	Chris James Andy Kurzen, Matt Plett	ダイスロール タイル配置	0
タイム・マスターズ	2~4人	2人	Pierre-Emmanuel Legrain Dimitri Piot	カードドラフト デッキ構築	0
タカラアイランド	2~4人	3人	Sayaka Amioka, Takahiro Amioka Xavier Gueniffey Durin	ダイスロール 可変ボード	0
タケノコ	2~4人	3人	Antoine Bauza Nicolas Fructus, Yuio, Joel Picksel	タイル配置 セットコレクション パターン構築	1
タシュ=カラール	2~4人	2人	Vlaada Chvatil David Cochard	ハンドマネジメント パターン構築 タイル配置 ヴァリアブルプレイヤーパワー	0
タフル	2人専用	2人	未詳	グリッドムーブメント ポイント・トゥ・ポイント	0
タルギ	2人専用	2人	Andreas Steiger Franz Vohwinkel	セットコレクション ワーカープレイスメント	0
タルバ	2人	2~5人	Marcel-Andre Casasola Merkle Manuel Casasola Merkle, Xavier Gueniffey Durin	可変ボード タイルプレイスメント	0
ダンジョンツイスター	2人専用	2人	Christophe Boelinger Thierry Masson, Wayne Reynolds	アクションポイント制 グリッドムーブメント ハンドマネジメント タイル配置 ヴァリアブルプレイヤーパワー	1
チェス	2人専用	2人	未詳	アブストラクト グリッドムーブメント	0
チェッカー	2人専用	2人	未詳	アブストラクト グリッドムーブメント	0
チャイナゴールド	2人専用	2人	Gunter Cornett Bernd Natke	アブストラクト ダイスロール	1
中世の建築士たち	2~4人	2人	Frederic Henry Sabrina Miramon	アクションポイント制 カードドラフト	0
ツォルキン	2~4人	4人	Daniele Tascini, Simone Luciani Milan Vavro?	セットコレクション ワーカープレイスメント	0
ディアボロの橋	2人専用	2人	Martin Ebel Julien Delval, Christof Tisch	タイルプレイスメント	0
ディアムス	2~5人	3人	Lionel Borg Franck & Maxime Plasse	ハンドマネジメント セットコレクション トレード	0
ティキ	2人専用	2人	Nicolas Sato Pauline Amelin	アブストラクト 行動プログラム	0
テラミスティカ	2~5人	4人	Jens Drogemuller, Helge Ostertag Dennis Lohausen	エリアコントロール リソースマネジメント ヴァリアブルプレイヤーパワー	1
テルモピュレ	1人専用	1人	Touko Tahkokallio Tasos Kyriakidis, Mateusz Bielski	キャンペーン ダイスロール ハンドマネージメント	0
東海道	2~5人	4人	Antoine Bauza Naiade	タイムトラック セットコレクション ヴァリアブルプレイヤーパワー	0
トゥルネー	2~4人	2人	Sebastien Dujardin, Xavier Georges, Alain Orban Alexandre Roche	カードドラフト ハンドマネージメント ワーカープレイスメント	0
トック	2~6人	不明	未詳	カードドラフト ハンドマネジメント チーム戦	0
トバゴ	2~4人	4人	Bruce Allen Victor Boden	ハンドマネージメント グリッドムーブメント プレス・ユア・ラック	0
ドラゴンイヤー	2~5人	4人	Stefan Feld Harald Lieske, Michael Menzel	ハンドマネジメント ヴァリアブルフェイズシステム	0
ドラゴンキーパー：ザ・ダンジョン	2~4人	3人	Etienne Daniault Boris Moncel, Ismael Pommaz	正体隠匿 セットコレクション	0
ドラゴンハート	2人専用	2人	Rudiger Dorn Michael Menzel	ハンドマネジメント メモリー	0
ドラゴンライン	2人専用	2人	CB Droege Joanne Wojtsyiak, Curtis M. McCartney, Amanda Troutman	カードドラフト ハンドマネジメント	0
トロワ	2~4人	3人	Sebastien Dujardin, Xavier Georges, Alain Orban Alexandre Roche	正体隠匿 エリアコントロール ダイスロール	0
ナイアガラ	3~5人	4人	Thomas Liesching Victor Boden	ハンドマネジメント ピック＆デリバリー セットコレクション アクション同時解決	0
ナイル	2~5人	3人	Daniel Callister, James Mathe Chuck Whelon	ハンドマネジメント コモディティスペキュレーション メモリー	0
ナイン・メンズ・モリス	2人専用	2人	未詳	パターン構築 ポイント・トゥ・ポイント	0
ニッポン: 明治維新	2~4人	4人	Nuno Bizarro Sentieiro, Paulo Soledade Mariano Iannelli	エリアコントロール ヴァリアブルフェイズオーダー ワーカーリムーブメント	0
ニムト	2~10人	5人 3人以下は非推奨	Wolfgang Kramer Franz Vohwinkel	ハンドマネジメント アクション同時解決	0
ニュートリーコ	2人専用	2人	Jan Kristian Haugland	アブストラクト パターン構築 ポイント・トゥ・ポイント	0
ネクサス	2人専用	2人	Kevin R. Kane Kevin R. Kane	アブストラクト 可変ボード	0
